Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml
Teh Gelas Blackcurrant,0.0,0.0,22,0.035,1.0,250.0,Minuman Teh,8.799999999999999,0.0,0.014000000000000002
Okky Jelly Drink Big Rasa Stroberi,0.0,0.0,10,0.06,1.0,220.0,Minuman Jeli,4.545454545454546,0.0,0.027272727272727275
Ultra Sari Kacang Ijo,0.0,0.0,20,0.065,1.0,200.0,Minuman Sari Kacang Hijau,10.0,0.0,0.0325
Ultra Sari Kacang Ijo Kids,0.0,0.0,15,0.05,1.0,150.0,Minuman Sari Kacang Hijau,10.0,0.0,0.03333333333333334
ABC Lychee Drink,0.0,0.0,19,0.02,1.0,250.0,Minuman Buah,7.6,0.0,0.008
ABC Minuman Buah Jeruk,0.0,0.0,18,0.035,1.0,250.0,Minuman Buah,7.199999999999999,0.0,0.014000000000000002
ABC Minuman Buah Sirsak,0.0,0.0,17,0.04,1.0,250.0,Minuman Buah,6.800000000000001,0.0,0.016
ABC Minuman Buah Apel,0.0,0.0,18,0.035,1.0,250.0,Minuman Buah,7.199999999999999,0.0,0.014000000000000002
ABC Minuman Sari Buah Jambu,0.0,0.0,18,0.03,1.0,250.0,Minuman Sari Buah,7.199999999999999,0.0,0.011999999999999999
ABC Minuman Asam Jawa,0.0,0.0,18,0.055,1.0,250.0,Minuman Asam Jawa,7.199999999999999,0.0,0.022000000000000002
Kapal Api Special Mix,0.5,0.0,17,0.0,1.0,23.0,Minuman Serbuk Kopi,73.91304347826086,2.1739130434782608,0.0
TOP Plus,0.0,0.0,13,0.01,1.0,18.0,Minuman Serbuk Kopi,72.22222222222221,0.0,0.05555555555555555
TOP Cappuccino,3.5,3.5,14,0.05,1.0,25.0,Minuman Serbuk Kopi,56.00000000000001,14.000000000000002,0.2
TOP Coffee Gula Aren,2.5,2.5,14,0.035,1.0,22.0,Minuman Serbuk Kopi,63.63636363636363,11.363636363636363,0.1590909090909091
TOP Coffee Gula Aren Tubruk,2.0,2.0,17,0.045,1.0,27.0,Minuman Serbuk Kopi,62.96296296296296,7.4074074074074066,0.16666666666666666
TOP Avocado Coffee,3.5,3.5,11,0.03,1.0,22.0,Minuman Serbuk Kopi,50.0,15.909090909090908,0.13636363636363635
Kapal Api Kopi Susu,3.5,2.5,18,0.05,1.0,31.0,Minuman Serbuk Kopi,58.06451612903226,11.29032258064516,0.16129032258064516
Kapal Api Gula Aren,1.0,1.0,17,0.0,1.0,23.0,Minuman Serbuk Kopi,73.91304347826086,4.3478260869565215,0.0
FresCo Kopi moka,2.5,2.5,16,0.02,1.0,28.0,Minuman Serbuk Kopi,57.14285714285714,8.928571428571429,0.07142857142857142
FresCo Kopi Susu,2.0,2.0,19,0.03,1.0,27.0,Minuman Serbuk Kopi,70.37037037037037,7.4074074074074066,0.1111111111111111
FresCo Cappuccino,2.0,2.0,18,0.06,1.0,25.0,Minuman Serbuk Kopi,72.0,8.0,0.24
Pikopi Gula Aren,2.5,2.5,12,0.005,1.0,20.0,Minuman Serbuk Kopi,60.0,12.5,0.025
Pikopi 3in1 KopiMix,2.5,2.5,11,0.025,1.0,20.0,Minuman Serbuk Kopi,55.00000000000001,12.5,0.125
Pikopi Moccachino,2.0,2.0,12,0.01,1.0,19.0,Minuman Serbuk Kopi,63.1578947368421,10.526315789473683,0.05263157894736842
TOP White Coffee,3.0,3.0,14,0.025,1.0,21.0,Minuman Serbuk Kopi,66.66666666666666,14.285714285714285,0.11904761904761905
TOP Coffee Kopi Susu,2.0,2.0,19,0.025,1.0,30.0,Minuman Serbuk Kopi,63.33333333333333,6.666666666666667,0.08333333333333334
TOP Coffee Kopi Mocca,2.0,2.0,21,0.06,1.0,30.0,Minuman Serbuk Kopi,70.0,6.666666666666667,0.2
TOP Coffee Kopi Gula,1.5,0.5,18,0.035,1.0,25.0,Minuman Serbuk Kopi,72.0,6.0,0.14
NEO Coffee Tiramisu,2.0,2.0,13,0.04,1.0,20.0,Minuman Serbuk Kopi,65.0,10.0,0.2
NEO Coffee Caramel Macchiato,2.5,2.5,12,0.05,1.0,20.0,Minuman Serbuk Kopi,60.0,12.5,0.25
NEO Coffee Moccachino,2.5,2.5,12,0.04,1.0,20.0,Minuman Serbuk Kopi,60.0,12.5,0.2
ABC Plus Gula,0.0,0.0,13,0.0,1.0,18.0,Minuman Serbuk Kopi,72.22222222222221,0.0,0.0
ABC Kopi Susu Gula Aren,3.0,3.0,17,0.01,1.0,27.0,Minuman Serbuk Kopi,62.96296296296296,11.11111111111111,0.037037037037037035
ABC Kopi Mocca,2.5,2.0,17,0.02,1.0,27.0,Minuman Serbuk Kopi,62.96296296296296,9.25925925925926,0.07407407407407407
Luwak White Koffie Tarik Malaka,4.0,4.0,11,0.025,1.0,25.0,Minuman Serbuk Kopi,44.0,16.0,0.1
Luwak Kopi Gula,0.5,0.0,16,0.0,1.0,23.0,Minuman Serbuk Kopi,69.56521739130434,2.1739130434782608,0.0
Good Day Vanilla Latte,2.0,2.0,13,0.015,1.0,20.0,Minuman Serbuk Kopi,65.0,10.0,0.075
Good Day Chococinno,2.5,2.5,13,0.04,1.0,20.0,Minuman Serbuk Kopi,65.0,12.5,0.2
Good Day Carrebian Nut,2.5,2.5,12,0.01,1.0,20.0,Minuman Serbuk Kopi,60.0,12.5,0.05
Good Day Mocacinno,2.0,2.0,13,0.01,1.0,20.0,Minuman Serbuk Kopi,65.0,10.0,0.05
Good Day CooLin Coffee,2.0,2.0,13,0.02,1.0,20.0,Minuman Serbuk Kopi,65.0,10.0,0.1
Energen Kurma,3.5,3.5,15,0.11,1.0,30.0,Minuman dengan Sereal,50.0,11.666666666666666,0.36666666666666664
Energen Vanila,4.0,3.5,18,0.105,1.0,34.0,Minuman dengan Sereal,52.94117647058824,11.76470588235294,0.30882352941176466
Energen Cokelat,3.5,3.0,16,0.21,1.0,35.0,Minuman dengan Sereal,45.714285714285715,10.0,0.6
Energen Kacang Hijau,3.0,3.0,14,0.17,1.0,32.0,Minuman dengan Sereal,43.75,9.375,0.53125
Energen Jahe,3.5,3.5,16,0.16,1.0,32.0,Minuman dengan Sereal,50.0,10.9375,0.5
